,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,views_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,views_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
10,3,0,0,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,4.532599493153256,1.9459101490553132,4.890349128221754,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.663443061339372,0.75,0,0,0,0,1,0,1,0.9249544011159166,0,0.4,False,0,0
11,93,0,0,4.543294782270004,0.0,0.0,0.0,0.0,4.543294782270004,5.44673737166631,3.4339872044851463,6.63200177739563,4.543294782270004,0.0,0.0,0.0,0.0,4.543294782270004,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.8200445519606605,1,1.0,False,0,0
12,447,0,0,6.104793232414985,0.0,0.0,0.0,0.0,6.104793232414985,3.5263605246161616,3.4330189939851112,6.104793232414985,6.104793232414985,0.0,0.0,0.0,0.0,6.104793232414985,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.7293294667147184,0.75,0,0,0,1,0,0,2,0.5766933386925752,0,1.0,False,0,0
13,32,0,0,3.49650756146648,0.0,0.0,0.0,0.0,3.49650756146648,6.4692503167957724,3.4330189939851112,8.720134035412928,3.49650756146648,0.0,0.0,0.0,0.0,3.49650756146648,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,0,1,2,0.7410253142224273,0,1.0,True,0,0
14,139455,93,36,11.845504418304293,4.543294782270004,3.610917912644224,4.023594781085251,1.732867951399863,11.21930989847643,5.0369526024136295,3.4330189939851112,5.556828061699537,11.845504418304293,4.543294782270004,3.610917912644224,4.023594781085251,1.732867951399863,11.21930989847643,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,0.904815551439155,1,1.0,False,0,0
15,3,1,0,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,5.170483995038151,3.218875824868201,5.220355825078324,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,0,0.9885530101502652,1,0.0,False,0,1
16,22,0,0,3.1354942159291497,0.0,0.0,0.0,0.0,3.1354942159291497,5.293304824724492,3.258096538021482,6.320768294250582,3.1354942159291497,0.0,0.0,0.0,0.0,3.1354942159291497,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,0.8361236075456617,1,0.4,False,0,1
17,90,0,0,4.51085950651685,0.0,0.0,0.0,0.0,4.51085950651685,4.110873864173311,3.4330189939851112,7.921898411023797,4.51085950651685,0.0,0.0,0.0,0.0,4.51085950651685,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,1,0.5182711188610277,0,0.4,False,0,0
18,46,1,0,3.8501476017100584,0.6931471805599453,0.0,0.6931471805599453,0.0,3.8501476017100584,4.976733742420574,3.218875824868201,6.754604099487962,3.8501476017100584,0.6931471805599453,0.0,0.6931471805599453,0.0,3.8501476017100584,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7849850142739001,0.5633802816901409,0,0,0,0,1,0,1,0.7357021444606465,1,0.4,False,0,1
19,40,2,0,3.713572066704308,1.0986122886681098,0.0,1.0986122886681098,0.0,3.713572066704308,5.58724865840025,3.258096538021482,7.156176637480615,3.713572066704308,1.0986122886681098,0.0,1.0986122886681098,0.0,3.713572066704308,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,0.7796694026739114,1,0.4,False,0,1
20,242,0,0,5.493061443340548,0.0,0.0,0.0,0.0,5.493061443340548,4.02535169073515,3.258096538021482,6.690842277418564,5.493061443340548,0.0,0.0,0.0,0.0,5.493061443340548,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,1,0,0,2,0.6007232410618503,0,1.0,False,0,1
21,41,0,0,3.737669618283368,0.0,0.0,0.0,0.0,3.737669618283368,6.028278520230698,3.4330189939851112,6.643789733147672,3.737669618283368,0.0,0.0,0.0,0.0,3.737669618283368,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,0.9059917373401779,1,1.0,False,0,0
22,119,1,0,4.787491742782046,0.6931471805599453,0.0,0.6931471805599453,0.0,4.787491742782046,5.187385805840755,3.4339872044851463,7.475339236566737,4.787491742782046,0.6931471805599453,0.0,0.6931471805599453,0.0,4.787491742782046,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,1,0.6930061072582767,1,0.4,True,0,0
23,3,0,0,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,5.799092654460526,3.431403223719222,6.778784897685177,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,1,0.8542165854213302,1,0.4,True,0,0
24,132,0,0,4.890349128221754,0.0,0.0,0.0,0.0,4.890349128221754,6.320768294250582,3.431403223719222,5.834810737062605,4.890349128221754,0.0,0.0,0.0,0.0,4.890349128221754,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8375788139770532,0.5620608899297423,1,0,0,0,1,0,2,1.0814325011706327,1,1.0,True,0,0
25,501,5,4,6.218600119691729,1.791759469228055,1.6094379124341005,1.791759469228055,1.6094379124341005,6.218600119691729,4.110873864173311,2.772588722239781,6.282266746896006,6.218600119691729,1.791759469228055,1.6094379124341005,1.791759469228055,1.6094379124341005,6.218600119691729,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7817173031017021,0.75,0,0,0,0,1,0,2,0.653321613582453,0,1.0,True,0,0
26,18,2,0,2.9444389791664403,1.0986122886681098,0.0,1.0986122886681098,0.0,2.9444389791664403,4.2626798770413155,3.4330189939851112,6.990256500493881,2.9444389791664403,1.0986122886681098,0.0,1.0986122886681098,0.0,2.9444389791664403,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.6089319550991561,0,1.0,False,0,0
27,652,5,0,6.481577129276431,1.791759469228055,0.0,1.791759469228055,0.0,6.481577129276431,5.720311776607412,3.4330189939851112,6.945051063725834,6.481577129276431,1.791759469228055,0.0,1.791759469228055,0.0,6.481577129276431,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.822468695656568,1,1.0,True,0,0
28,3,0,0,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,4.2626798770413155,3.4339872044851463,6.304448802421981,1.3862943611198906,0.0,0.0,0.0,0.0,1.3862943611198906,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8003156420739824,0.5625,0,0,0,0,1,0,2,0.6750676124583217,0,1.0,False,0,0
29,79054,95,30,11.277899091744246,4.564348191467836,3.4339872044851463,4.023594781085251,1.732867951399863,11.21930989847643,6.2285110035911835,3.258096538021482,7.652070746116482,11.277899091744246,4.564348191467836,3.4339872044851463,4.023594781085251,1.732867951399863,11.21930989847643,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,0.8129017872548492,1,1.0,True,0,1
30,1307,0,0,7.176254532017144,0.0,0.0,0.0,0.0,7.176254532017144,1.9459101490553132,2.862200880929469,5.802118375377063,7.176254532017144,0.0,0.0,0.0,0.0,7.176254532017144,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.663443061339372,0.75,0,0,0,1,0,0,2,0.3348022224218845,0,1.0,True,0,0
31,147,2,1,4.997212273764115,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.997212273764115,6.376726947898627,3.258096538021482,6.298949246855942,4.997212273764115,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,4.997212273764115,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7995931909469315,0.55625,0,0,0,0,1,0,2,1.0107431044997646,1,1.0,False,0,1
32,84,1,0,4.442651256490317,0.6931471805599453,0.0,0.6931471805599453,0.0,4.442651256490317,4.499809670330265,3.4339872044851463,7.113142108707088,4.442651256490317,0.6931471805599453,0.0,0.6931471805599453,0.0,4.442651256490317,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8333532273396249,0.6,1,0,0,0,1,0,1,0.6317169588445878,0,0.4,False,0,0
33,20,0,0,3.044522437723423,0.0,0.0,0.0,0.0,3.044522437723423,4.564348191467836,3.4339872044851463,8.037866234709618,3.044522437723423,0.0,0.0,0.0,0.0,3.044522437723423,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8898015390639057,0.5642633228840125,1,1,0,0,1,0,0,0.5671501064197951,0,0.0,False,0,0
34,34493,53,3,10.448540674851346,3.9889840465642745,1.3862943611198906,3.9889840465642745,1.3862943611198906,10.448540674851346,3.713572066704308,3.432372999130605,7.975908360165538,10.448540674851346,3.9889840465642745,1.3862943611198906,3.9889840465642745,1.3862943611198906,10.448540674851346,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,1,0,0,2,0.46501561240396333,0,1.0,False,0,0
35,2869,0,1,7.962067308753666,0.0,0.6931471805599453,0.0,0.6931471805599453,7.962067308753666,3.5263605246161616,3.431403223719222,5.54907608489522,7.962067308753666,0.0,0.6931471805599453,0.0,0.6931471805599453,7.962067308753666,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,1,0,0,2,0.6343429143194805,0,1.0,False,0,0
36,20,0,0,3.044522437723423,0.0,0.0,0.0,0.0,3.044522437723423,5.6937321388027,2.772588722239781,6.12029741895095,3.044522437723423,0.0,0.0,0.0,0.0,3.044522437723423,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,1,0.9287856281167256,1,0.4,False,0,0
37,298,2,0,5.700443573390687,1.0986122886681098,0.0,1.0986122886681098,0.0,5.700443573390687,4.997212273764115,3.4330189939851112,7.703459047867175,5.700443573390687,1.0986122886681098,0.0,1.0986122886681098,0.0,5.700443573390687,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9238763082816578,0.75,1,1,0,0,1,0,2,0.64785620079825,1,1.0,False,0,0
