likes_log,likes_log_scaled,likes_log_minmax,likes_log_zscore,likes_log_win,likes_log_win_scaled,likes_log_win_minmax,likes_log_win_zscore,comments_log_minmax,comments_log_scaled,comments_log,comments_log_zscore,comments_log_win_scaled,comments_log_win_minmax,comments_log_win,comments_log_win_zscore,duration_log_minmax,duration_log_zscore,duration_log,duration_log_scaled,has_description,comments,views,views_log
3.737669618283368,0.2740717701127894,0.2740717701127894,1.6741280580456968,3.737669618283368,0.9289378830726183,0.9289378830726183,2.215592055203982,0.14263367413831,0.14263367413831,1.3862943611198906,0.8767678121652687,0.8,0.8,1.3862943611198906,1.7507038129017307,0.47591234715509734,0.3441149687309625,5.198497031265826,0.5116675692550011,1,3,4078,8.313607139317558
1.0986122886681098,0.08055784629814867,0.08055784629814867,-0.003933556804560776,1.0986122886681098,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.071316837069155,0.071316837069155,0.6931471805599453,0.2137356093950099,0.4,0.4,0.6931471805599453,0.5969504024040405,0.6489136235063879,1.6805954830586165,6.836259277277067,0.672866050738049,1,1,33,3.5263605246161616
4.912654885736052,0.36022981108354485,0.36022981108354485,2.421250014511251,4.023594781085251,1.0,1.0,2.446944767221639,0.2973858619184573,0.2973858619184573,2.8903717578961645,2.315497965717822,1.0,1.0,1.732867951399863,2.3275805181505755,0.5030413730279655,0.5536938528667998,5.455321115357702,0.5369457513993957,1,17,13227,9.490091074101684
0.6931471805599453,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.6931471805599453,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,0.0,-0.44929659337524885,0.0,0.0,0.0,-0.5568030080936498,0.5957825164171766,1.2701436596558866,6.333279628139691,0.6233597467215227,1,0,43,3.784189633918261
1.0986122886681098,0.08055784629814867,0.08055784629814867,-0.003933556804560776,1.0986122886681098,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.0,0.0,0.0,-0.44929659337524885,0.0,0.0,0.0,-0.5568030080936498,0.5296385450669281,0.7591640257810975,5.707110264748875,0.5617283647699367,1,0,222,5.407171771460119
0.6931471805599453,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.6931471805599453,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.071316837069155,0.071316837069155,0.6931471805599453,0.2137356093950099,0.4,0.4,0.6931471805599453,0.5969504024040405,0.44571806460152164,0.11085616782468612,4.912654885736052,0.48353325371837375,0,1,168,5.1298987149230735
0.0,0.0,0.0,-0.7024932623966749,0.0,0.0,0.0,-0.8086958190850739,0.0,0.0,0.0,-0.44929659337524885,0.0,0.0,0.0,-0.5568030080936498,0.3265152136638902,-0.8100173129405895,3.784189633918261,0.3724628676214625,1,0,138,4.9344739331306915
7.094234845924755,0.5201983322194802,0.5201983322194802,3.808421695034356,4.023594781085251,1.0,1.0,2.446944767221639,0.4123082887276148,0.4123082887276148,4.007333185232471,3.3839310724902387,1.0,1.0,1.732867951399863,2.3275805181505755,0.0967902798523779,-2.5847030503502135,1.6094379124341005,0.15841062898933297,1,54,373587,12.830908864906622
0.0,0.0,0.0,-0.7024932623966749,0.0,0.0,0.0,-0.8086958190850739,0.0,0.0,0.0,-0.44929659337524885,0.0,0.0,0.0,-0.5568030080936498,0.5007598001567177,0.5360681003362259,5.43372200355424,0.5348198359726722,1,0,1876,7.537430036586509
0.6931471805599453,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.6931471805599453,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,0.0,-0.44929659337524885,0.0,0.0,0.0,-0.5568030080936498,0.517765545406411,0.6674419701548775,5.594711379601839,0.5506653856041773,1,0,50,3.9318256327243257
