,views,likes,comments,duration_log,bitrate_log,height_log,width_log,frame rate_log,views_log,likes_log,comments_log,likes_log_win,comments_log_win,duration_log_scaled,duration_log_minmax,duration_log_zscore,height_log_scaled,height_log_minmax,height_log_zscore,width_log_scaled,width_log_minmax,width_log_zscore,frame rate_log_scaled,frame rate_log_minmax,frame rate_log_zscore,views_log_scaled,views_log_minmax,views_log_zscore,likes_log_scaled,likes_log_minmax,likes_log_zscore,comments_log_scaled,comments_log_minmax,comments_log_zscore,likes_log_win_scaled,likes_log_win_minmax,likes_log_win_zscore,comments_log_win_scaled,comments_log_win_minmax,comments_log_win_zscore,has_description,has_hashtags,is_h264,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,like_per_view_log,comment_per_view_log,engagement_rate_log,aspect_ratio,log_aspect_ratio,like_per_view_log_scaled,like_per_view_log_minmax,like_per_view_log_zscore,comment_per_view_log_scaled,comment_per_view_log_minmax,comment_per_view_log_zscore,engagement_rate_log_scaled,engagement_rate_log_minmax,engagement_rate_log_zscore,aspect_ratio_scaled,aspect_ratio_minmax,aspect_ratio_zscore,log_aspect_ratio_scaled,log_aspect_ratio_minmax,log_aspect_ratio_zscore
0,4078,41,3,5.198497031265826,8.661812881026181,7.560601162768557,6.985641817639208,3.258096538021482,8.313607139317558,3.737669618283368,1.3862943611198906,3.737669618283368,1.3862943611198906,0.5116675692550011,0.47591234715509734,0.3441149687309625,0.9618386970928408,0.9053491559533858,1.8324181324789257,0.9224383863718397,0.8095645576658779,1.7424533331012393,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.41918884002759677,0.41918884002759677,1.198467612719074,0.2740717701127894,0.2740717701127894,1.6741280580456968,0.14263367413831,0.14263367413831,0.8767678121652687,0.9289378830726183,0.9289378830726183,2.215592055203982,0.8,0.8,1.7507038129017307,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-4.57593752103419,-6.927312778197667,-4.484965742828463,-0.5749593451293489,-0.5749593451293489,-2.991991544625368,0.61717303276047,-0.2232342592110689,-inf,0.6507109177353552,-1.0599901339154483,-2.916682851551633,0.6054123425040963,-0.47984570799584575,-0.9644744694380522,0.32925372240951767,-0.9416715164737409,-0.9644744694380522,0.32925372240951767,-0.9416715164737409
1,33,2,1,6.836259277277067,7.086737934510577,7.155396301896734,6.580639137284949,3.4339872044851463,3.5263605246161616,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.672866050738049,0.6489136235063879,1.6805954830586165,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.8384418981852877,0.7392388740603397,0.5278148808121357,0.17780621011570902,0.17780621011570902,-0.7363241753610611,0.08055784629814867,0.08055784629814867,-0.003933556804560776,0.071316837069155,0.071316837069155,0.2137356093950099,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.4,0.4,0.5969504024040405,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2.4277482359480516,-2.833213344056216,-1.9169226121820613,-0.5747571646117846,-0.5747571646117846,-1.5873910343063555,0.7518724547250489,1.219054731647684,-inf,0.857143668765767,1.058207636819054,-1.2466216313119387,0.7736632756905981,1.1687892973601257,-0.9641353185936309,0.3293695214030786,-0.9407439369351335,-0.9641353185936309,0.3293695214030786,-0.9407439369351335
2,13227,135,17,5.455321115357702,8.015987811027237,7.155396301896734,6.580639137284949,3.2180755046974316,9.490091074101684,4.912654885736052,2.8903717578961645,4.023594781085251,1.732867951399863,0.5369457513993957,0.5030413730279655,0.5536938528667998,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.7857249238255753,0.6541516055435531,-0.20143214171252385,0.47850953291924375,0.47850953291924375,1.6739500014554887,0.36022981108354485,0.36022981108354485,2.421250014511251,0.2973858619184573,0.2973858619184573,2.315497965717822,1.0,1.0,2.446944767221639,1.0,1.0,2.3275805181505755,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-4.577436188365632,-6.59971931620552,-4.453138471688055,-0.5747571646117846,-0.5747571646117846,-2.9929714531060387,0.6170790607698898,-0.22424046076328094,-inf,0.6672288408260036,-0.8905004202283945,-2.895984799153942,0.607497575421818,-0.4594132032996242,-0.9641353185936309,0.3293695214030786,-0.9407439369351335,-0.9641353185936309,0.3293695214030786,-0.9407439369351335
3,43,1,0,6.333279628139691,6.068425588244111,5.771441123130016,5.484796933490655,3.4330189939851112,3.784189633918261,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6233597467215227,0.5957825164171766,1.2701436596558866,0.7342267222817858,0.3408069655728426,-1.1705473335896999,0.724255174396581,0.32296937391118097,-1.2075259137851115,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.1908064738330739,0.1908064738330739,-0.6321211368391293,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.0,0.0,-0.44929659337524885,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-3.0910424533583156,-3.784189633918261,-2.6855773452501515,-0.286644189639361,-0.286644189639361,-2.0210881031513614,0.7102814514098882,0.7737206290559119,-inf,0.8091935261669262,0.5661932415630263,-1.746496592963222,0.7233031884344411,0.6753275307543486,-0.48083574093004355,0.4943863733510881,0.3810832282703213,-0.48083574093004355,0.4943863733510881,0.3810832282703213
4,222,2,0,5.707110264748875,8.035278911144667,7.155396301896734,6.580639137284949,3.2180755046974316,5.407171771460119,1.0986122886681098,0.0,1.0986122886681098,0.0,0.5617283647699367,0.5296385450669281,0.7591640257810975,0.9102896592523202,0.7774929359163918,1.1523134034871825,0.8689586877707873,0.6782569483655825,0.9464020458583174,0.7857249238255753,0.6541516055435531,-0.20143214171252385,0.27264050666873274,0.27264050666873274,0.023815931928863686,0.08055784629814867,0.08055784629814867,-0.003933556804560776,0.0,0.0,-0.44929659337524885,0.27304247779439417,0.27304247779439417,0.08023235340810513,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-4.308559482792009,-5.407171771460119,-4.020877410340228,-0.5747571646117846,-0.5747571646117846,-2.8171655497419588,0.6339386257402341,-0.043717303404893354,-inf,0.7273594933312673,-0.2735023254314282,-2.6148748649158255,0.6358180993585221,-0.18190979664501175,-0.9641353185936309,0.3293695214030786,-0.9407439369351335,-0.9641353185936309,0.3293695214030786,-0.9407439369351335
5,168,1,1,4.912654885736052,6.148468295917647,5.771441123130016,5.484796933490655,3.4339872044851463,5.1298987149230735,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.48353325371837375,0.44571806460152164,0.11085616782468612,0.7342267222817858,0.3408069655728426,-1.1705473335896999,0.724255174396581,0.32296937391118097,-1.2075259137851115,0.8384418981852877,0.7392388740603397,0.5278148808121357,0.25865983991446856,0.25865983991446856,-0.08824548374926228,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.071316837069155,0.071316837069155,0.2137356093950099,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.4,0.4,0.5969504024040405,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-4.436751534363128,-4.436751534363128,-3.7436043538031827,-0.286644189639361,-0.286644189639361,-2.900984337176426,0.6259005094685617,-0.12978513084460105,-inf,0.7762900389670073,0.22857194412659698,-2.4345574186806878,0.6539842469411324,-0.003905750843040993,-0.48083574093004355,0.4943863733510881,0.3810832282703213,-0.48083574093004355,0.4943863733510881,0.3810832282703213
6,138,0,0,3.784189633918261,6.453624998892692,6.175867270105761,5.8888779583328805,3.4330189939851112,4.9344739331306915,0.0,0.0,0.0,0.0,0.3724628676214625,0.3265152136638902,-0.8100173129405895,0.7856766943016016,0.4684174743046253,-0.4917496150867118,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.24880612825605125,0.24880612825605125,-0.16722747348802097,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-4.9344739331306915,-4.9344739331306915,-4.241326752570746,-0.28698931177288056,-0.28698931177288056,-3.2264217370180743,0.5946914722211173,-0.46395472252352155,-inf,0.7511938717439487,-0.028938771593273547,-2.7582384607577173,0.62137488105428,-0.3234340951163731,-0.48141467140475863,0.4941887044747855,0.37949985004362574,-0.48141467140475863,0.4941887044747855,0.37949985004362574
7,373587,1204,54,1.6094379124341005,6.6052979209482015,6.293419278846481,5.8888779583328805,3.4330189939851112,12.830908864906622,7.094234845924755,4.007333185232471,4.023594781085251,1.732867951399863,0.15841062898933297,0.0967902798523779,-2.5847030503502135,0.8006313346130893,0.5055092196084865,-0.29444774443533284,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.8382055000273586,0.7388573181424425,0.5245447262766386,0.6469603041672628,0.6469603041672628,3.0241597038910064,0.5201983322194802,0.5201983322194802,3.808421695034356,0.4123082887276148,0.4123082887276148,3.3839310724902387,1.0,1.0,2.446944767221639,1.0,1.0,2.3275805181505755,1,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-5.736674018981867,-8.82357567967415,-5.692041864961098,-0.4045413205136006,-0.4045413205136006,-3.7509428571014634,0.5443905566480485,-1.002549882792512,-inf,0.5550975175906687,-2.0410752089720914,-3.7016739591361882,0.5263281240373917,-1.2547656948639376,-0.6786041113573816,0.4268607320902889,-0.15981441892612522,-0.6786041113573816,0.4268607320902889,-0.15981441892612522
8,1876,0,0,5.43372200355424,8.679482094459956,7.560601162768557,6.985641817639208,3.258096538021482,7.537430036586509,0.0,0.0,0.0,0.0,0.5348198359726722,0.5007598001567177,0.5360681003362259,0.9618386970928408,0.9053491559533858,1.8324181324789257,0.9224383863718397,0.8095645576658779,1.7424533331012393,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.3800524250037185,0.3800524250037185,0.8847714100108005,0.0,0.0,-0.7024932623966749,0.0,0.0,-0.44929659337524885,0.0,0.0,-0.8086958190850739,0.0,0.0,-0.5568030080936498,1,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-7.537430036586509,-7.537430036586509,-6.844282856026563,-0.5749593451293489,-0.5749593451293489,-4.9283730020368015,0.4314764869454541,-2.2115730342647915,-inf,0.6199475749962815,-1.37565149910574,-4.451004440616309,0.4508365484914208,-1.994482567141869,-0.9644744694380522,0.32925372240951767,-0.9416715164737409,-0.9644744694380522,0.32925372240951767,-0.9416715164737409
9,50,1,0,5.594711379601839,6.20050917404269,6.46302945692067,5.8888779583328805,3.258096538021482,3.9318256327243257,0.6931471805599453,0.0,0.6931471805599453,0.0,0.5506653856041773,0.517765545406411,0.6674419701548775,0.8222086707508449,0.559027127073143,-0.00977030017862007,0.7776131704475308,0.4539781694313363,-0.41328618259437844,0.7954964544543811,0.6699232400224203,-0.06626012732599898,0.19825057866611873,0.19825057866611873,-0.5724532439760832,0.05082634211313828,0.05082634211313828,-0.2617511594924925,0.0,0.0,-0.44929659337524885,0.1722706232293572,0.1722706232293572,-0.24784458627122652,0.0,0.0,-0.5568030080936498,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.2386784521643803,-3.9318256327243257,-2.833213344056216,-0.5741514985877894,-0.5741514985877894,-2.1176203783582643,0.7010241276542942,0.6745981833707381,-inf,0.8017494213338813,0.4898095951514811,-1.8425078917513777,0.713630494750052,0.5805480183786725,-0.9631193347295577,0.3297164169242579,-0.9379652151381178,-0.9631193347295577,0.3297164169242579,-0.9379652151381178
