,views,likes,comments,views_log,likes_log,comments_log,likes_log_win,comments_log_win,duration_scaled,framerate_scaled,bitrate_scaled,views_log_scaled,likes_log_scaled,comments_log_scaled,likes_log_win_scaled,comments_log_win_scaled,has_description,has_hashtags,cat_Comedy,cat_Education,cat_Entertainment,cat_Film & Animation,cat_Gaming,cat_Howto & Style,cat_Music,cat_News & Politics,cat_Nonprofits & Activis,cat_People & Blogs,cat_Pets & Animals,cat_Science & Technology,cat_Shows,cat_Sports,cat_Travel & Events,resolution_score_scaled,aspect_ratio,is_hd,is_full_hd,is_4k,is_short,is_medium,is_long,content_score,duration_bitrate_ratio,optimal_duration,content_completeness,is_popular_category,is_high_fps,is_cinema_fps
14,139455,93,36,11.845504418304293,4.543294782270004,3.610917912644224,4.023594781085251,1.732867951399863,0.2127882531173984,0.5221162484473696,-1.3398379722362028,2.627288939657678,2.187823342600781,3.005823594360738,2.4473872072079064,2.3285137093747577,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,2,-0.16001066111804743,1,1.0,False,0,0
15,3,1,0,1.3862943611198906,0.6931471805599453,0.0,0.6931471805599453,0.0,0.32184451474105424,-0.20582158217463434,-1.7236960965369896,-1.601278918988052,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,0,-0.18780722870959013,1,0.0,False,0,1
16,22,0,0,3.1354942159291497,0.0,0.0,0.0,0.0,0.42215336550524757,-0.0724984368883118,-0.4683108956201484,-0.8940925976545878,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,-0.9211069811770994,1,0.4,False,0,1
17,90,0,0,4.51085950651685,0.0,0.0,0.0,0.0,-0.5435483893501083,0.5221162484473696,1.3583087671425949,-0.33804434641201725,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,1,-0.3972410338970398,0,0.4,False,0,0
18,46,1,0,3.8501476017100584,0.6931471805599453,0.0,0.6931471805599453,0.0,0.16360698105093058,-0.20582158217463434,0.026622654099190315,-0.6051644357127859,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7849850142739001,0.5633802816901409,0,0,0,0,1,0,1,4.467370950445335,1,0.4,False,0,1
19,40,2,0,3.713572066704308,1.0986122886681098,0.0,1.0986122886681098,0.0,0.6622198771917055,-0.0724984368883118,0.48474925245535316,-0.6603807392811386,-0.003838314248407685,-0.44926769600141864,0.08013712952674934,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,1,1.3384959631676554,1,0.4,False,0,1
20,242,0,0,5.493061443340548,0.0,0.0,0.0,0.0,-0.6133950998335506,-0.0724984368883118,-0.0461188406147211,0.05905137286741152,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,1,0,0,2,16.982690734085928,0,1.0,False,0,1
21,41,0,0,3.737669618283368,0.0,0.0,0.0,0.0,1.0224128404364665,0.5221162484473696,-0.09979786497873425,-0.6506383083019197,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8189195531524088,0.75,0,0,0,0,1,0,2,-11.38571435611072,1,1.0,False,0,0
22,119,1,0,4.787491742782046,0.6931471805599453,0.0,0.6931471805599453,0.0,0.3356483721304946,0.5254074907218134,0.8488599971111837,-0.22620433396931885,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,0,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.9425024075576036,0.5625,1,1,0,0,1,0,1,0.390806852408383,1,0.4,True,0,0
23,3,0,0,1.3862943611198906,0.0,0.0,0.0,0.0,0.8352347301312947,0.516623753370429,0.05420887022592494,-1.601278918988052,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,1,13.008089492813733,1,0.4,True,0,0
24,132,0,0,4.890349128221754,0.0,0.0,0.0,0.0,1.2612918088259473,0.516623753370429,-1.0227065814727299,-0.18461998565652007,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8375788139770532,0.5620608899297423,1,0,0,0,1,0,2,-1.245466191195985,1,1.0,True,0,0
25,501,5,4,6.218600119691729,1.791759469228055,1.6094379124341005,1.791759469228055,1.6094379124341005,-0.5435483893501083,-1.7228873221728644,-0.5122346733993035,0.352380363321674,0.4371730419529231,1.0907160555421467,0.6411157751353391,2.1229837235420215,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.7817173031017021,0.75,0,0,0,0,1,0,2,1.0822597843975583,0,1.0,True,0,0
26,18,2,0,2.9444389791664403,1.0986122886681098,0.0,1.0986122886681098,0.0,-0.4195670848045218,0.5221162484473696,0.2954623347381062,-0.9713345718556706,-0.003838314248407685,-0.44926769600141864,0.08013712952674934,-0.5569777681091652,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,-1.3735476917775982,0,1.0,False,0,0
27,652,5,0,6.481577129276431,1.791759469228055,0.0,1.791759469228055,0.0,0.770893694984233,0.5221162484473696,0.24389054878562957,0.4586996861207032,0.4371730419529231,-0.44926769600141864,0.6411157751353391,-0.5569777681091652,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,3.036322929984806,1,1.0,True,0,0
28,3,0,0,1.3862943611198906,0.0,0.0,0.0,0.0,-0.4195670848045218,0.5254074907218134,-0.4869286858597664,-1.601278918988052,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8003156420739824,0.5625,0,0,0,0,1,0,2,0.8797270896971987,0,1.0,False,0,0
29,79054,95,30,11.277899091744246,4.564348191467836,3.4339872044851463,4.023594781085251,1.732867951399863,1.1859444689301346,-0.0724984368883118,1.0504808691386818,2.397811031941381,2.2012184667582466,2.836528206443602,2.4473872072079064,2.3285137093747577,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,0,1,0,2,1.1183082160580171,1,1.0,True,0,1
30,1307,0,0,7.176254532017144,0.0,0.0,0.0,0.0,-2.311693277837343,-1.4182683111489216,-1.0600030572877683,0.7395517314756124,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.663443061339372,0.75,0,0,0,1,0,0,2,2.201606235136695,0,1.0,True,0,0
31,147,2,1,4.997212273764115,1.0986122886681098,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.306993732938345,-0.0724984368883118,-0.49320275205098135,-0.14141614329714278,-0.003838314248407685,0.21396720560231527,0.08013712952674934,0.597218822884404,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7995931909469315,0.55625,0,0,0,0,1,0,2,-2.704855730623918,1,1.0,False,0,1
32,84,1,0,4.442651256490317,0.6931471805599453,0.0,0.6931471805599453,0.0,-0.22590109909582437,0.5254074907218134,0.4356541067129983,-0.36562034997057974,-0.2618134200183668,-0.44926769600141864,-0.24801434185961874,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.8333532273396249,0.6,1,0,0,0,1,0,1,-0.5068978288161605,0,0.4,False,0,0
33,20,0,0,3.044522437723423,0.0,0.0,0.0,0.0,-0.17319192181813403,0.5254074907218134,1.490608512661858,-0.9308716981087706,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.8898015390639057,0.5642633228840125,1,1,0,0,1,0,0,-0.11541446043839718,0,0.0,False,0,0
34,34493,53,3,10.448540674851346,3.9889840465642745,1.3862943611198906,3.9889840465642745,1.3862943611198906,-0.8680282582163267,0.5199203152550034,1.4199250180978529,2.0625086213581194,1.8351459658955032,0.8772021072060492,2.419376009125255,1.7514154138779734,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,1,0,0,2,-0.6070445983041928,0,1.0,False,0,0
35,2869,0,1,7.962067308753666,0.0,0.6931471805599453,0.0,0.6931471805599453,-1.0209255695649961,0.516623753370429,-1.3486816715131755,1.057249017642912,-0.7028247762196976,0.21396720560231527,-0.8089929874682087,0.597218822884404,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,1,0,0,2,0.7626350545391388,0,1.0,False,0,0
36,20,0,0,3.044522437723423,0.0,0.0,0.0,0.0,0.7491858712484055,-1.7228873221728644,-0.6970143837361192,-0.9308716981087706,-0.7028247762196976,-0.44926769600141864,-0.8089929874682087,-0.5569777681091652,0,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.7293294667147184,0.75,0,0,0,0,1,0,1,-1.0904951759149284,1,0.4,False,0,0
37,298,2,0,5.700443573390687,1.0986122886681098,0.0,1.0986122886681098,0.0,0.18033197753283847,0.5221162484473696,1.1091062621847965,0.142894168335999,-0.003838314248407685,-0.44926769600141864,0.08013712952674934,-0.5569777681091652,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9238763082816578,0.75,1,1,0,0,1,0,2,0.16113928017950854,1,1.0,False,0,0
38,439,3,0,6.0867747269123065,1.3862943611198906,0.0,1.3862943611198906,0.0,-1.4542943245472761,0.5221162484473696,1.0412300980148772,0.2990845010325792,0.179197936182964,-0.44926769600141864,0.31296430374897116,-0.5569777681091652,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8900041254883724,0.5625,1,1,0,1,0,0,1,-1.3834215052380423,0,0.4,True,0,0
